ONS API: Series LZVD,Metric,Tool Tip
ECONOMY,Output per Hour,"Why it matters to you if it gets worse: Your wages won't keep up with the cost of living, making you permanently poorer. The UK is less competitive globally."
,Real GDP Growth,"Why it matters to you if it gets worse: A recession. Fewer jobs, lower business investment, and cuts to public services like schools and hospitals."
,CPI Inflation,"Why it matters to you if it gets worse: Your weekly shopping bill and energy costs spiral upwards, rapidly eroding the value of your savings and paycheque."
,Public Sector Net Debt,Why it matters to you if it gets worse: Higher taxes (income or VAT) and/or future cuts to essential public services to pay the national credit card bill.
,Business Investment,"Why it matters to you if it gets worse: Fewer new factories, offices, and R\&D labs, leading to slower job creation and a stagnant, low-tech economy."
EMPLOYMENT,Inactivity Rate,"Why it matters to you if it gets worse: Fewer people paying tax to fund the NHS and state pensions, putting a greater tax burden on the working population."
,Real Wage Growth,"Why it matters to you if it gets worse: You are working harder just to afford the same lifestyle, or worse, falling behind financially year after year."
,Job Vacancy Ratio,"Why it matters to you if it gets worse: Businesses cannot hire staff, leading to worse customer service, long waits (e.g., at restaurants, airports), and higher prices."
,Underemployment,"Why it matters to you if it gets worse: People who want full-time work are stuck with part-time or zero-hour contracts, making it impossible to budget or afford major purchases like a house."
,Sickness Absence,"Why it matters to you if it gets worse: More disruption at work, leading to lower productivity for everyone and potential delays or losses for your employer/business."
HEALTHCARE,A&E 4-Hour Wait %,"Why it matters to you if it gets worse: If you or a loved one have a medical emergency, you face dangerous delays sitting on a trolley, as there are no beds available."
,Elective Backlog,"Why it matters to you if it gets worse: Waiting years for necessary operations (like hip replacements or cataracts), leading to prolonged pain, disability, or inability to work."
,Ambulance (Cat 2),"Why it matters to you if it gets worse: Critical, time-sensitive emergencies take too long to respond to, potentially resulting in permanent damage or death."
,GP Appt. Access,"Why it matters to you if it gets worse: You can't see your family doctor when you need to, forcing minor issues into already overwhelmed A\&E departments."
,Staff Vacancy Rate,"Why it matters to you if it gets worse: Less dedicated care for patients, burned-out staff making more errors, and entire departments struggling to function safely."
CRIME,Total Recorded Crime,"Why it matters to you if it gets worse: You and your neighbours are more likely to become victims of theft, violence, or fraud."
,Charge Rate %,"Why it matters to you if it gets worse: Criminals feel safe to commit crimes because they know the police are unlikely to catch them, eroding trust in law enforcement."
,Perception of Safety,"Why it matters to you if it gets worse: You feel less safe walking alone at night, restricting your freedom and reducing community life in your area."
,Crown Court Backlog,"Why it matters to you if it gets worse: Victims wait years for justice, and accused individuals (guilty or innocent) face extreme stress and delays in their lives."
,Reoffending Rate,"Why it matters to you if it gets worse: The same criminals are released and commit more crimes, meaning the prison system is failing to protect the public."
EDUCATION,Attainment 8 Score,"Why it matters to you if it gets worse: Future generations lack the basic skills needed for higher education or skilled jobs, limiting their career prospects and national productivity."
,Teacher Vacancies,"Why it matters to you if it gets worse: Class sizes increase, subjects are dropped, and your child's education suffers due to relying on non-specialist or temporary staff."
,NEET Rate (16-24),"Why it matters to you if it gets worse: A wasted generation who are not contributing to the economy and are at higher risk of long-term poverty, social exclusion, and crime."
,Persistent Absence,"Why it matters to you if it gets worse: Students fall behind, increasing social inequality, and leading to anti-social behaviour issues in the community."
,Apprentice Starts,"Why it matters to you if it gets worse: A shortage of plumbers, electricians, builders, and mechanics, making it harder and more expensive to hire a skilled tradesperson."
DEFENCE,Spend as % of GDP,"Why it matters to you if it gets worse: The UK's influence on the world stage decreases, making it less able to protect its citizens and interests abroad or deter foreign threats."
,Trained Strength,"Why it matters to you if it gets worse: The armed forces cannot cover all necessary tasks (e.g., peace-keeping, disaster relief, conflict), leaving the nation vulnerable."
,Equipment Spend,"Why it matters to you if it gets worse: Military forces are left using outdated equipment, putting personnel at risk and making the UK incapable of fighting a modern war effectively."
,Deployability %,"Why it matters to you if it gets worse: The UK has fewer available personnel to respond to a crisis, even if the total headcount seems high on paper."
,Force Readiness,Why it matters to you if it gets worse: Critical assets needed for immediate response (like fighter jets or aircraft carriers) are stuck in maintenance or unserviceable when a crisis hits.
POPULATION,Natural Change (Births vs Deaths),"Why it matters to you if it gets worse: The local population shrinks, leading to school closures, fewer shops, and a gradual decline of rural and local communities."
,Old-Age Dependency Ratio,"Why it matters to you if it gets worse: A tiny workforce must fund the pensions and healthcare for a huge number of retirees, leading to massive tax hikes or benefit cuts."
,Net Migration (Long-term),"Why it matters to you if it gets worse: A rapid decline in the working-age population needed to fill essential jobs in the NHS, social care, and other key sectors."
,Healthy Life Expectancy,"Why it matters to you if it gets worse: You spend a greater proportion of your final years in poor health, becoming dependent on family and straining the NHS/care system."
,Total Population,"Why it matters to you if it gets worse: (Note: A shrinking population slows economic growth, while a rapidly growing population strains housing and infrastructure.)"
