Date,District Council,Number of Non-Domestic Properties,Number of Vacant Non-Domestic Properties,Non-Domestic Vacancy Rate %
31st March 2021,Antrim and Newtownabbey,4527,749,16.5
31st March 2021,Ards and North Down,5053,728,14.4
31st March 2021,"Armagh City, Banbridge and Craigavon",7796,1200,15.4
31st March 2021,Belfast,17226,3882,22.5
31st March 2021,Causeway Coast and Glens,6021,933,15.5
31st March 2021,Derry City and Strabane,5621,948,16.9
31st March 2021,Fermanagh and Omagh,5922,1061,17.9
31st March 2021,Lisburn and Castlereagh,4424,615,13.9
31st March 2021,Mid and East Antrim,4960,836,16.9
31st March 2021,Mid Ulster,6456,1017,15.8
31st March 2021,"Newry, Mourne and Down",6846,1155,16.9
31st March 2021,Northern Ireland,74852,13124,17.5
30th June 2021,Antrim and Newtownabbey,4509,706,15.7
30th June 2021,Ards and North Down,5050,718,14.2
30th June 2021,"Armagh City, Banbridge and Craigavon",7805,1186,15.2
30th June 2021,Belfast,17250,3880,22.5
30th June 2021,Causeway Coast and Glens,6047,899,14.9
30th June 2021,Derry City and Strabane,5627,937,16.7
30th June 2021,Fermanagh and Omagh,5901,1045,17.7
30th June 2021,Lisburn and Castlereagh,4436,600,13.5
30th June 2021,Mid and East Antrim,4965,835,16.8
30th June 2021,Mid Ulster,6477,1030,15.9
30th June 2021,"Newry, Mourne and Down",6855,1142,16.7
30th June 2021,Northern Ireland,74922,12978,17.3
30th September 2021,Antrim and Newtownabbey,4519,711,15.7
30th September 2021,Ards and North Down,5052,716,14.2
30th September 2021,"Armagh City, Banbridge and Craigavon",7808,1188,15.2
30th September 2021,Belfast,17258,3885,22.5
30th September 2021,Causeway Coast and Glens,6054,896,14.8
30th September 2021,Derry City and Strabane,5627,919,16.3
30th September 2021,Fermanagh and Omagh,5916,1052,17.8
30th September 2021,Lisburn and Castlereagh,4436,567,12.8
30th September 2021,Mid and East Antrim,4974,816,16.4
30th September 2021,Mid Ulster,6495,1028,15.8
30th September 2021,"Newry, Mourne and Down",6861,1134,16.5
30th September 2021,Northern Ireland,75000,12912,17.2
31st December 2021,Antrim and Newtownabbey,4524,723,16
31st December 2021,Ards and North Down,5051,710,14.1
31st December 2021,"Armagh City, Banbridge and Craigavon",7808,1192,15.3
31st December 2021,Belfast,17230,3824,22.2
31st December 2021,Causeway Coast and Glens,6076,911,15
31st December 2021,Derry City and Strabane,5643,932,16.5
31st December 2021,Fermanagh and Omagh,5913,1032,17.5
31st December 2021,Lisburn and Castlereagh,4446,567,12.8
31st December 2021,Mid and East Antrim,4984,808,16.2
31st December 2021,Mid Ulster,6505,1010,15.5
31st December 2021,"Newry, Mourne and Down",6863,1116,16.3
31st December 2021,Northern Ireland,75043,12825,17.1
31st March 2022,Antrim and Newtownabbey,4533,713,15.7
31st March 2022,Ards and North Down,5054,704,13.9
31st March 2022,"Armagh City, Banbridge and Craigavon",7809,1204,15.4
31st March 2022,Belfast,17170,3752,21.9
31st March 2022,Causeway Coast and Glens,6089,905,14.9
31st March 2022,Derry City and Strabane,5644,935,16.6
31st March 2022,Fermanagh and Omagh,5914,1035,17.5
31st March 2022,Lisburn and Castlereagh,4453,544,12.2
31st March 2022,Mid and East Antrim,4972,816,16.4
31st March 2022,Mid Ulster,6504,1038,16
31st March 2022,"Newry, Mourne and Down",6882,1120,16.3
31st March 2022,Northern Ireland,75024,12766,17
30th June 2022,Antrim and Newtownabbey,4539,698,15.4
30th June 2022,Ards and North Down,5045,697,13.8
30th June 2022,"Armagh City, Banbridge and Craigavon",7785,1194,15.3
30th June 2022,Belfast,17156,3687,21.5
30th June 2022,Causeway Coast and Glens,6098,897,14.7
30th June 2022,Derry City and Strabane,5659,933,16.5
30th June 2022,Fermanagh and Omagh,5912,1037,17.5
30th June 2022,Lisburn and Castlereagh,4457,526,11.8
30th June 2022,Mid and East Antrim,4963,808,16.3
30th June 2022,Mid Ulster,6511,1038,15.9
30th June 2022,"Newry, Mourne and Down",6900,1111,16.1
30th June 2022,Northern Ireland,75025,12626,16.8
30th September 2022,Antrim and Newtownabbey,4503,638,14.2
30th September 2022,Ards and North Down,5050,677,13.4
30th September 2022,"Armagh City, Banbridge and Craigavon",7773,1164,15
30th September 2022,Belfast,17119,3556,20.8
30th September 2022,Causeway Coast and Glens,6099,866,14.2
30th September 2022,Derry City and Strabane,5658,865,15.3
30th September 2022,Fermanagh and Omagh,5938,1030,17.3
30th September 2022,Lisburn and Castlereagh,4449,486,10.9
30th September 2022,Mid and East Antrim,4953,782,15.8
30th September 2022,Mid Ulster,6537,1028,15.7
30th September 2022,"Newry, Mourne and Down",6887,1074,15.6
30th September 2022,Northern Ireland,74966,12166,16.2
31st December 2022,Antrim and Newtownabbey,4494,609,13.6
31st December 2022,Ards and North Down,5044,660,13.1
